SKU,Nombre_Producto ,categoria,PRECIO COMPRA,precio_venta,Margen($),Fecha Actualización,proveedor
AC-0001,"Bobina Hierro 32mm",Titanio,684,891.08,207.08,2024-08-11,"Aleaciones del Sur"
BR-0002,"Varilla Magnesio 29mm",Plomo,891,1251.22,360.22%,11-11-24,"Aleaciones del Sur"
MT-0003,"  Alambre Cobre 24mm  ",Magnesio,994,1314.62,320.62,27-12-24,"Metalúrgica Central"
BR-0004,"  Chapa Acero Inoxidable 12mm  ",Magnesio,869,1186.35,317.35,03/05/2024,"MetalCorp Internacional"
MT-0005,"Plancha Zinc 48mm",Aluminio,680,829.66,149.66,2024-11-21,"Aceros del Río"
BR-0006,"Plancha Zinc 27cm",Plomo,175,238.7,63.7,01/13/2024,"Aceros del Río"
MT-0007,"  Flejes Hierro 25mm  ",Plomo,221,280.17,59.17,10/14/2024,"SiderúrgicaUY"
BR-0008,"Plancha Magnesio&Zinc 42mm",Zinc,1000,1111.91,111.91,13/05/2024,"Metalúrgica Central"
BR-0009,"Plancha Aluminio 27mm",Magnesio,901,1089.1,188.1,2024-05-08,"MetalSur S.A."
MT-0010,"Chapa Plomo 14mm",Titanio,284,419.98,135.98,21/06/2024,"SiderúrgicaUY"
BR-0011,"Barra Hierro 31mm",Magnesio,832,1133.25,301.25,14/06/2024,"Aleaciones del Sur"
BR-0012,"Perfil Acero Inoxidable 44cm",Bronce,,479.34,137.34,24/11/2024,"Industrias del Plata"
AC-0013,"  Flejes Bronce 15mm  ",Plomo,230,284.99,54.99,07-07-24,"MetalCorp Internacional"
AL-0014,"Chapa Bronce 29cm",Bronce,353,406.02,53.02,03/22/2024,"Aleaciones del Sur"
CU-0015,"Tubo Níquel 34cm",Acero Inoxidable,613,717.17$,104.17,11/20/2024,"Aceros del Río"
AC-0016,"Barra Hierro 50cm",Níquel,667,901.64,234.64,06/10/2024,"Aleaciones del Sur"
CU-0017,"Alambre Cobre™ 48mm",Zinc,897,1173.41,276.41,2024-02-08,"Aleaciones del Sur"
MT-0018,"Flejes Hierro&Zinc 12mm",,79,89.31,10.31,2024-09-12,"Fundición Oriental"
AC-0019,"  Barra Cobre 33cm  ",Cobre,1034,1492.76,458.76%,06/27/2024,"SiderúrgicaUY"
AC-0020,"Bobina Zinc 3mm",Titanio,886,1324.12,438.12,25/02/2024,"MetalCorp Internacional"
AC-0021,"Plancha Magnesio 19mm",Titanio,737,838.28,101.28,01/06/2024,"Aleaciones del Sur"
BR-0022,"Tubo Acero Inoxidable 48mm",Titanio,1048,1285.4,237.4,2024-11-26,"SiderúrgicaUY"
AC-0023,"Tubo Bronce#304 36cm",Magnesio,783,890.53,107.53,01/18/2024,"Aleaciones del Sur"
MT-0024,"Varilla Aluminio(6061) 4mm",Bronce,897,1111.69,214.69,21/01/2024,"Fundición Oriental"
CU-0025,"  Varilla Hierro 12cm  ",Bronce,915,1292.97,377.97,01/08/2024,"Aceros del Río"
AC-0026,"  Plancha Níquel 11cm  ",Níquel,369,459.23,90.23,05/02/2024,"Aceros del Río"
BR-0027,"Alambre Magnesio 1mm",Magnesio,378,521.4,143.4,24-06-24,"SiderúrgicaUY"
AL-0028,"Flejes Bronce 27mm",Cobre,385,530.14,145.14,11/20/2024,"Fundición Oriental"
AC-0029,"Bobina Bronce 38cm",Aluminio,624,846.61,222.61,21-06-24,"Metalúrgica Central"
BR-0030,"Plancha Níquel 25mm",Magnesio,920,1016.6,96.6,2024-07-03,"SiderúrgicaUY"
MT-0031,"Flejes Plomo#304 23mm",Cobre,496,658.79,162.79,04/03/2024,"SiderúrgicaUY"
BR-0032,"Flejes Níquel 4mm",,857,1016.37,159.37,12/04/2024,"Industrias del Plata"
BR-0033,"Flejes Cobre 21cm",Magnesio,565,798.45,233.45,2024-08-08,"Industrias del Plata"
MT-0034,"Perfil Cobre 33mm",Plomo,632,917.16,285.16,2024-05-04,"MetalCorp Internacional"
MT-0035,"Chapa Níquel 19mm",Magnesio,142,158.75,16.75,2024-06-21,"Metalúrgica Central"
CU-0036,"Perfil Bronce 47cm",Plomo,545,789.39,244.39,08/09/2024,"MetalSur S.A."
MT-0037,"Chapa Cobre 22cm",Plomo,440,645.02,205.02,21/01/2024,"MetalSur S.A."
BR-0038,"Barra Níquel 27cm",Titanio,595,771.06,176.06,01/19/2024,"SiderúrgicaUY"
CU-0039,"Bobina Magnesio 49mm",Bronce,692,930.24,238.24,2024-01-04,"MetalSur S.A."
MT-0040,"Alambre Aluminio&Zinc 16cm",Cobre,145,182.8,37.8,06/05/2024,"Aceros del Río"
MT-0041,"Tubo Acero Inoxidable™ 11mm",Cobre,1047,1290.81$,243.81,21-04-24,"SiderúrgicaUY"
MT-0042,"Flejes Magnesio 27cm",Titanio,431,637.93,206.93,15-02-24,"Aceros del Río"
AC-0043,"Caño Cobre 7cm",Aluminio,287,323.42,36.42,2024-10-14,"Industrias del Plata"
CU-0044,"Bobina Aluminio® 28cm",Plomo,185,207.72,22.72,07/25/2024,"MetalCorp Internacional"
AL-0045,"Chapa Magnesio 49cm",Cobre,872,1191.62,319.62,2024-07-04,"MetalCorp Internacional"
MT-0046,"Barra Cobre(6061) 41cm",Aluminio,,494.91,115.91,07/21/2024,"SiderúrgicaUY"
